Country pair,Count
China-China,93338
China-United States,12375
China-United Kingdom,5797
Australia-China,4312
China-Hong Kong,3524
China-Singapore,3262
Canada-China,3096
China-Germany,2522
China-Japan,2443
China-France,1963
China-Pakistan,1552
China-UK,1270
China-South Korea,1234
China-Italy,1039
China-Russia,927
China-Taiwan,880
China-Sweden,853
China-Saudi Arabia,811
China-Netherlands,744
China-Spain,739
China-India,671
China-Denmark,602
China-Macau,565
Belgium-China,537
China-Switzerland,446
China-New Zealand,398
China-Finland,346
China-Egypt,320
China-Israel,283
China-Norway,279
China-Ireland,267
China-Malaysia,263
China-Iran,257
China-Poland,250
China-Czech Republic,241
China-South Africa,206
China-Turkey,204
Austria-China,187
China-Portugal,178
China-Vietnam,174
China-United Arab Emirates,160
Brazil-China,155
China-Qatar,154
China-Greece,138
Algeria-China,118
China-Thailand,115
China-Romania,101
Chile-China,98
China-Slovenia,95
China-Nigeria,94
China-Ukraine,80
China-Estonia,78
China-Mexico,73
China-Iraq,72
Bangladesh-China,69
China-Hungary,66
Belarus-China,63
China-Korea,49
China-Cyprus,48
China-Luxembourg,43
China-Indonesia,40
China-Kazakhstan,37
China-Lebanon,36
China-Ecuador,35
China-Tunisia,34
China-Slovakia,32
China-Croatia,30
China-Lithuania,29
Brunei-China,29
China-Uzbekistan,26
China-Colombia,23
 United States-China,22
China-Serbia,22
China-Morocco,21
China-Europe,19
Bulgaria-China,19
China-Sri Lanka,16
China-Iceland,16
China-Tanzania,15
China-Puerto Rico,15
China-Kuwait,15
China-Jordan,15
Benin-China,15
China-Fiji,13
China-Oman,13
China-Kenya,13
Argentina-China,13
China-Mongolia,13
China-Ghana,12
China-Nepal,10
China-International,9
China-Ethiopia,9
China-Philippines,8
China-Malta,8
Bahrain-China,7
China-Zambia,7
China-Latvia,6
China-Georgia,6
China-Peru,5
Cameroon-China,4
China-Rwanda,4
Armenia-China,4
China-Senegal,4
China-EU,4
China-Costa Rica,4
Azerbaijan-China,3
Bosnia and Herzegovina-China,3
China-Montenegro,3
China-Venezuela,3
China-Uganda,2
China-Uruguay,2
China-Gambia,2
China-Guadeloupe,2
China-Reunion,2
China-Palestine,2
China-Sudan,2
China-North Macedonia,2
China-Namibia,1
China-Multinational,1
China-Mali,1
China-Yemen,1
China-Libya,1
