Source,Target
University of Houston System,Northwestern Polytechnical University
University of Houston System,University of Houston
University of Houston System,Texas A&M University System
University of Houston System,Prairie View A&M University
Northwestern Polytechnical University,University of Houston
Northwestern Polytechnical University,Texas A&M University System
Northwestern Polytechnical University,Prairie View A&M University
University of Houston,Texas A&M University System
University of Houston,Prairie View A&M University
Texas A&M University System,Prairie View A&M University
Henan University,Tsinghua University
Henan University,Northwestern Polytechnical University
Henan University,Beijing University of Technology
Henan University,Tsinghua University China
Tsinghua University,Northwestern Polytechnical University
Tsinghua University,Beijing University of Technology
Tsinghua University,Tsinghua University China
Northwestern Polytechnical University,Beijing University of Technology
Northwestern Polytechnical University,Tsinghua University China
Beijing University of Technology,Tsinghua University China
